"id","body"
"13489","<p>I suspect it means very little in your actual figure; you have drawn a form of stripplot/chart. But as we don't have the data or reproducible example, I will just describe what these lines/regions show in general.</p>

<p>In general, the line is the fitted linear model describing the relationship $$\\widehat{\\mathrm{val}} = \\beta_0 + \\beta_1 \\mathrm{Num}$$ The shaded band is a pointwise 95% confidence interval on the fitted values (the line). This confidence interval contains the true, population, regression line with 0.95 probability. Or, in other words, there is 95% confidence that the true regression line lies within the shaded region. It shows us the uncertainty inherent in our estimate of the true relationship between your response and the predictor variable.</p>
"
"30081","<p>It really sounds like you want to do cross-validation.  I am assuming you use the data to construct the criterion.  A way to do this that is a type of cross validation would be to randomly split the data into tow groups ( could be an equal split but you may want a larger sample for the fitting of the criterion).  Construct the criterion on the first set and then test how it does.</p>
"
"47384","<blockquote>
  <p>What is this, I don't even... Jimmy Rustles.</p>
</blockquote>

<p>One of my favourites. </p>
"
"30567","<p>As Michael notes, when comparing a subgroup to an overall group, researchers typically compare the subgroup to the subset of the overall group that does not include the subgroup.</p>

<p>Think about it this way.</p>

<p>If $p$ is the proportion that died, and $p-1$ is the proportion who did not die, and </p>

<p>$$\\bar{X}_. = p\\bar{X}_d + (p-1)\\bar{X}_a$$</p>

<p>where $\\bar{X}_.$ is the overall mean, $\\bar{X}_d$ is the mean of those that died, and $\\bar{X}_a$ is the mean of those that are still alive. Then if </p>

<p>$$\\bar{X}_d \\neq \\bar{X}_a$$
then </p>

<p>$$\\bar{X}_d \\neq \\bar{X}_.$$</p>

<p>Thus, researchers typically test the difference between the subgroup and the subset of the overall group that does not include the subgroup. This has the effect of showing that the subgroup differs from the overall group. It also allows you use conventional methods like an independent groups t-test.</p>
"
"21246","<p><strong>(1)</strong> Yes, that's correct. The null hypothesis is that the sub-model is sufficient and the extra parameters in the larger model are unnecessary. </p>

<p><strong>(2)</strong> Yes, as long as the null model is a sub-model of the alternative model, the likelihood ratio test is justified. </p>

<p><strong>(3)</strong> The theory of the likelihood ratio test is based on the exact value of the maximized log-likelihood, so this could be a concern. However, the approximate optimized log-likelihood could be an <strong>underestimate</strong> (but not an overestimate, since it cannot exceed the true maximum), so your observed test statistic will be too small, if anything, so the test result will be conservative (i.e. if you observe a significant result, you can be confident that it would still be significant if you had the true likelihood). </p>

<p><strong>(4)</strong> Yes. The likelihood ratio test statistic has a $\\chi^2$ distribution under the null hypothesis. </p>

<p><strong>(5)</strong> Use degrees of freedom equal to the number of parameters you had to delete to produce the submodel (1 in your case, apparently). You can use a table but unless you test statistic value is right on the table, you won't be able to calculate the exact $p$-value. You could use, for example, the pchisq function in R to calculate $p$-values. For example, </p>

<pre><code> 1-pchisq(LRT,df=D)
</code></pre>

<p>will give you the $p$-value when the observed test statistic is the variable LRT and the degrees of freedom is D. However, in your case your observed test statistic is $&gt;60000$ when you add only one parameter, resulting in a $p$-value of essentially 0. A jump of over 30000 log-likelihood points indicates either a very large effect and/or a very large sample size. So, you don't need a table to see that the additional parameter is very important. </p>
"
"52802","<p>If you tabulate within levels of p11, you will see several levels with all zero rows or very sparse entries:</p>

<pre><code> with( dados_censo, table(p13, p14, p11))
</code></pre>

<p>I suspect you are having problems in the estimation of the appropriate degrees of freedom and the construction of an adjustment to the Pearson-statistic. The data looks very sparse or with all-zero rows for p11 levels: 1-7, 9-12, 14-18, 20-28. Attempting to choose different adjustment methods fails. The failure is a solve call before the switching logic and all the methods use the same ""Delta"" matrix in one way or another</p>
"
"17797","<p>The answer can not be retrieved without the aid of computation.</p>

<p>If you look at the F distribution table for F(3,19), you'll see that (for F(3,20):</p>

<p>...</p>

<p>.050 | 3.10</p>

<p>.025 | 3.86</p>

<p>...</p>

<p>Which means 0.025 &lt; p &lt; 0.05.</p>

<p>I'm guessing that they ""cheated"" with MATLAB or something.</p>
"
"8053","<p>Suppose you have</p>

<p>Case 1:</p>

<blockquote>
  <p>A=200, B=100</p>
  
  <p>C=100, D=200</p>
</blockquote>

<p>versus</p>

<p>Case 2:</p>

<blockquote>
  <p>A=200, B=0</p>
  
  <p>C=200, D=200</p>
</blockquote>

<p>The B=0 in case 2 means that case 2 provides much stronger evidence than case 1 of a relationship between X and Outcome; but in your test, both cases would be scored the same.</p>

<p>The Chi-Square test, informally speaking, not only takes into account the ""X XOR Outcome"" relationship (which is what you test) but also ""X implies Outcome"", ""not X implies Outcome"" and so on.</p>
"
"27441","<p>It is the percentage change in the coefficient for LWD when AGE is added to the model: $$\\Delta\\beta\\%=(1.054-1.010)/1.054 \\times 100\\% = 4.2\\%$$.</p>

<p>1.054 is the coefficient for LWD in Model 1 in Table 3.14, and 1.010 is the coefficient for LWD in Model 2 (which has the potential confounder AGE included).</p>
"
"108379","<p>There are a variety of ways one might compare OLS and MLE fits.</p>

<p>One can clearly compute the likelihood or log-likelihood for a fit not obtained by ML (obviously ML does better -- because it maximizes the likelihood).</p>

<p>One can as readily compute the sums of squares of residuals for OLS and ML (obviously OLS wins -- because it minimizes this criterion).</p>

<p>One can compute some other measure of fit than either the likelihood or SSE.</p>

<p>An obvious class of distributions to consider would be the exponential family, and the use of GLMs. It includes the normal as a special case.</p>

<p>We can do regression for a gamma model and using OLS quite readily:</p>

<p><img src=""http://i.stack.imgur.com/YdArz.png"" alt=""enter image description here""></p>

<p>We might evaluate the likelihood for the OLS fit by substituting its parameter estimates into the likelihood function for the mean parameter in the gamma (if we use shape-mean parameterization). </p>
"
